Order_extracted,Study,Type_of_sterilization,Gonads_removed,Control_treatment,Sex,Species_Latin,Species,Strain,Environment,Age_at_treatment,Duration_of_treatment,Shared_control,Control_lifespan_variable,Treatment_lifespan_variable,Opposite_sex_lifespan_variable,Error_control,Error_experimental,Error_opposite_sex,Lifespan_parameter,Lifespan_unit,Error_unit,Coefficent_difference_to_control,Lower_interval,Upper_interval,Coefficent_unit,Sample_size_control,Sample_size_sterilization,Sample_size_opposite_sex,Notes
47,Mitchel et al 1999,Castration ,Yes,Intact (no surgery),Male,Canis lupus,Dogs,Various breeds,Domestic,Various,,39,131,128,130,1.4,2.7,1.8,Mean,Months,S.E.M,,,,,1277,291,833,Used all causes of death. Data collected on the basis of surveys that pet owners filled out about their last pets age at death
48,Mitchel et al 1999,Ovariectomy,Yes,Intact (no surgery),Female,Canis lupus,Dogs,Various breeds,Domestic,Various,,40,130,144,131,1.8,1.5,1.4,Mean,Months,S.E.M,,,,,833,720,1277,Used all causes of death. Data collected on the basis of surveys that pet owners filled out about their last pets age at death
50,Nieschlag et al 1993,Castration,Yes,Intact (no surgery),Male,Homo sapiens,Humans,,Human,Unknown,,42,64.3,65.5,,14.1,13.8,NA,Mean,Years,Standard Deviation,,,,,200,50,NA,
51,Slonaker 1929,Castration,Yes,Intact (no surgery),Male,Rattus norvegicus,Rats,Albino,Laboratory,44 days,,43,788,770,863,22.25,28,27.69,Mean,Days,Probable error,,,,,10,8,17,
52,Slonaker 1929,Vasectomy,No,Intact (no surgery),Male,Rattus norvegicus,Rats,Albino,Laboratory,46.5 days,,43,788,685,863,22.25,39.72,27.69,Mean,Days,Probable error,,,,,10,12,17,
53,Slonaker 1929,Ovariectomy,Yes,Intact (no surgery),Female ,Rattus norvegicus,Rats,Albino,Laboratory,27.5 days,,44,863,755,788,27.69,22.15,22.25,Mean,Days,Probable error,,,,,17,37,10,
54,Slonaker 1929,Hysterectomy,No,Intact (no surgery),Female,Rattus norvegicus,Rats,Albino,Laboratory,29 days,,44,863,855,788,27.69,12.67,22.25,Mean,Days,Probable error,,,,,17,60,10,
55,Storer et al 1982,Ovariectomy,Yes,Intact (no surgery),Female,Mus musculus,Mice,RFM,Laboratory,50 days,,45,643.4,662.2,NA,5.91,7.31,NA,Mean,Days,S.E.M.,,,,,745,337,NA,Non-irradiated controls from an irradiation experiment
56,Storer et al 1982,Ovariectomy,Yes,Intact (no surgery),Female,Mus musculus,Mice,Balb/c,Laboratory,50 days,,46,762.9,795.5,NA,6.21,10.95,NA,Mean,Days,S.E.M.,,,,,831,326,NA,Non-irradiated controls from an irradiation experiment
57,Hoffman et al 2018,Castration,Yes,Intact (no surgery),Male,Canis lupus,Dogs,Various breeds,Domestic,Various,,47,10.86,11.64,10.86,0.11,0.07,0.14,Mean,Years,S.E.M,,,,,915,844,693,Vetcompass database
58,Hoffman et al 2018,Ovariectomy,Yes,Intact (no surgery),Female ,Canis lupus,Dogs,Various breeds,Domestic,Various,,48,10.86,12.12,10.86,0.14,0.19,0.11,Mean,Years,S.E.M,,,,,693,921,915,Vetcompass database
59,Hoffman et al 2018,Castration ,Yes,Intact (no surgery),Male,Canis lupus,Dogs,Various breeds,Domestic,Various,,49,8,9.21,7.68,0.07,0.04,0.07,Mean,Years,S.E.M,,,,,14941,11244,7392,"VMDB - individual data for breeds available in supplementary, but just mean lifespan without error"
60,Hoffman et al 2018,Ovariectomy,Yes,Intact (no surgery),Female,Canis lupus,Dogs,Various breeds,Domestic,Various,,50,7.68,9.73,8,0.07,0.04,0.07,Mean,Years,S.E.M,,,,,7392,19598,14941,"VMDB - individual data for breeds available in supplementary, but just mean lifespan without error"
61,Mason et al 2009,Ovariectomy,Yes,Sham surgery,Female,Mus musculus,Mice,CBA,Laboratory,21 days,,51,727.6,715,NA,15.9,20,NA,Mean,Days,S.E.M,,,,,32,26,NA,Worked out sample size from fig 4 This and the other entry for this paper have two different control comparisons
62,Mason et al 2009,Ovariectomy,Yes,Intact (no surgery),Female,Mus musculus,Mice,CBA,Laboratory,21 days,,51,725.6,715,NA,20.4,20,NA,Mean,Days,S.E.M,,,,,33,26,NA,Worked out sample size from fig 4
63,Talbert and Hamilton 1965,Castration,Yes,Sham surgery,Male,Rattus norvegicus,Rats,Lewis,Laboratory,Birth,,52,454,521,484,18,27,19,Mean,Days,S.E.M,,,,,36,42,42,
64,Talbert and Hamilton 1965,Castration,Yes,Sham surgery,Male,Rattus norvegicus,Rats,Lewis,Laboratory,25 days,,52,454,488,484,18,28,19,Mean,Days,S.E.M,,,,,36,35,42,
65,Talbert and Hamilton 1965,Castration,Yes,Sham surgery,Male,Rattus norvegicus,Rats,Lewis,Laboratory,100 days,,52,454,439,484,18,25,19,Mean,Days,S.E.M,,,,,36,23,42,
66,Talbert and Hamilton 1965,Ovariectomy,Yes,Sham surgery,Female,Rattus norvegicus,Rats,Lewis,Laboratory,Birth,,53,484,574,454,19,33,18,Mean,Days,S.E.M,,,,,42,31,36,
67,Talbert and Hamilton 1965,Ovariectomy,Yes,Sham surgery,Female,Rattus norvegicus,Rats,Lewis,Laboratory,25 days,,53,484,480,454,19,44,18,Mean,Days,S.E.M,,,,,42,22,36,
68,Talbert and Hamilton 1965,Ovariectomy,Yes,Sham surgery,Female,Rattus norvegicus,Rats,Lewis,Laboratory,100 days,,53,484,515,454,19,41,18,Mean,Days,S.E.M,,,,,42,20,36,
72,Hamilton 1965 ,Castration,Yes,Intact (no surgery),Male,Felis catus,Cats,Various breeds,Domestic,Before 1 year,,57,3.2,6.8,7.7,0.34,0.58,0.68,Mean,Years,Standard Deviation,,,,,65,60,58,
73,Hamilton 1965 ,Ovariectomy,Yes,Intact (no surgery),Female,Felis catus,Cats,Various breeds,Domestic,Before 1 year,,58,7.7,9.2,3.2,0.68,0.88,0.34,Mean,Years,Standard Deviation,,,,,58,28,65,
74,Hamilton 1965 ,Castration,Yes,Intact (no surgery),Male,Felis catus,Cats,Various breeds,Domestic,Before 1 year,,59,6.1,8.5,7.4,0.66,0.56,0.72,Mean,Years,Standard Deviation,,,,,51,77,50,
75,Hamilton 1965 ,Ovariectomy,Yes,Intact (no surgery),Female,Felis catus,Cats,Various breeds,Domestic,Before 1 year,,60,7.4,8.4,6.1,0.72,0.71,0.66,Mean,Years,Standard Deviation,,,,,50,45,51,
94,Muhlock 1959,Castration,Yes,Intact (no surgery),Male,Mus musculus,MIce,DBA,Laboratory,Weaning,,75,578,595,667,10.12,11.44,9.57,Mean,days,S.E.M,,,,,60,80,86,Extracted data and calculated mean and SE from graph
95,Muhlock 1959,Ovariectomy,Yes,Intact (no surgery),Female,Mus musculus,Mice,DBA,Laboratory,Weaning,,76,667,627,578,9.57,10.67,10.12,Mean,days,S.E.M,,,,,86,68,60,Extracted data and calculated mean and SE from graph
117,Bronson 1982,Castration,Yes,Intact (no surgery),Male,Canis lupus,Dogs,Various breeds,Domestic,Various,,94,8,9.9,7.7,5.2,6.8,4.4,Mean (from those alive after 2),Years,Standard Deviation,,,,,755,54,224,"Mean lifespan is that of those that are alive from 2 years of age. The authors also provide lifespan from birth, but point out that animals are not usually sterilized until at least 6 months, so this doesnt provide a fair comparison"
118,Bronson 1982,Ovariectomy,Yes,Intact (no surgery),Female,Canis lupus,Dogs,Various breeds,Domestic,Various,,95,7.7,8.8,8,4.4,6.9,5.2,Mean (from those alive after 2),Years,Standard Deviation,,,,,224,528,755,"Mean lifespan is that of those that are alive from 2 years of age. The authors also provide lifespan from birth, but point out that animals are not usually sterilized until at least 6 months, so this doesnt provide a fair comparison"
20,Arriola Apelo et al 2020,Castration ,Yes,Sham surgery,Male,Mus musculus,Mice,C57BL6,Laboratory,21 days,,17,1005.5,966,853,34.3,36.73,26.25,Median,days,S.E.M,,,,,18,21,27,
21,Arriola Apelo et al 2020,Ovariectomy,Yes,Sham surgery,Female,Mus musculus,Mice,C57BL6,Laboratory,21 days,,18,853,886,1005.5,26.25,51.01,34.3,Median,days,S.E.M,,,,,27,17,18,
24,Cargil et al 2003,Ovariectomy,Yes,Sham surgery,Female,Mus musculus,Mice,CBA,Laboratory,21 days,,21,599.29,578.64,NA,30.45,35.6,NA,Median,Days,S.E.M,,,,,27,25,NA,Extracted data from figure
32,Garratt et al 2021,Castration,Yes,Sham surgery,Male,Mus musculus,Mice,C57BL6,Laboratory,7-8 weeks,,28,952,960,956,20.7,36.4,28.5,Median,Days,S.E.M,,,,,32,36,30,
49,Moore et al 2001,Castration,Yes,Intact (no surgery),Male,Canis lupus,Dogs,Military working dogs,Domestic,Various,,41,9.97,10.49,NA,2.1,2.06,NA,Median,Years,S.E.M,,,,,641,,,"Do not know the sample size of castrated males. 641/927 animals in the study are intact males, the remaining animals are either castrated males or spayed females but we do not know sample size of each of these two groups."
69,Tapprest et al 2017,Castration,Yes,Intact (no surgery),Male,Equus ferus,Horse,Draught horse,Farm,Unknown,,54,9.8,10.3,9.2,,,,Median,Years,,,,,,132,23,638,"No error provided with median lifespan but there is proportion surviving to a specific age, which includes condfidence intervals, and survival curves"
70,Tapprest et al 2017,Castration,Yes,Intact (no surgery),Male,Equus ferus,Horse,Pony,Farm,Unknown,,55,18,17.4,18.3,,,,Median,Years,,,,,,211,201,533,"No error provided with median lifespan but there is proportion surviving to a specific age, which includes condfidence intervals, and survival curves"
71,Tapprest et al 2017,Castration,Yes,Intact (no surgery),Male,Equus ferus,Horse,Saddle horse,Farm,Unknown,,56,15.7,15.5,15.7,,,,Median,Years,,,,,,1077,2203,4124,"No error provided with median lifespan but there is proportion surviving to a specific age, which includes condfidence intervals, and survival curves"
76,Huang et al 2017,Castration,Yes,Intact (no surgery),Male,Canis lupus,Dogs,Various breeds,Domestic,Various,,61,9,12,10,,,,Median,Years,Interquartile range,,,,,839,332,528,"Interquartile range Intact, 5.0-13.0; castrated 9.0-14.0"
77,Huang et al 2017,Ovariectomy,Yes,Intact (no surgery),Female,Canis lupus,Dogs,Various breeds,Domestic,Various,,62,10,12,9,,,,Median,Years,Interquartile range,,,,,528,607,839,"Interquartile range Intact, 5.0-13.0; ovariectomy 9.7-15.0"
78,Min et al 2012,Castration,Yes,Intact (no surgery),Male,Homo sapiens,Humans,,Human,Various,,63,55.6,70,NA,0.53,1.76,NA,Median,Years,S.E.M,,,,,1126,81,NA,Mok family
79,Min et al 2012,Castration,Yes,Intact (no surgery),Male,Homo sapiens,Humans,,Human,Various,,63,52.9,70,NA,0.45,1.76,NA,Median,Years,S.E.M,,,,,1414,81,NA,Shin family
80,Min et al 2012,Castration,Yes,Intact (no surgery),Male,Homo sapiens,Humans,,Human,Various,,63,50.9,70,NA,2.16,1.76,NA,Median,Years,S.E.M,,,,,49,81,NA,Seo family
87,Urfer et al 2019,Castration,Yes,Intact (no surgery),Male,Canis lupus,Dogs,Various breeds,Domestic,Various,,68,14.09,14.15,13.77,,,,Median,years,95% Confidence intervals,,,,,322958,909894,230974,95% confidence intervals Intact Male: 14.03-14.16; Castrated male: 14.13-14.18
88,Urfer et al 2019,Ovariectomy,Yes,Intact (no surgery),Female,Canis lupus,Dogs,Various breeds,Domestic,Various,,69,13.77,14.35,14.09,,,,Median,years,95% Confidence intervals,,,,,230974,906252,322958,"95% confidence intervals Intact female: 13.68-13.86, OVX female: 14.33-14.37"
104,Hamilton and Mestler 1969,Ovariectomy,Yes,Intact (no surgery),Female,Homo sapiens,Humans,Mentally handicaped individuals,,13-46 years old,,82,33.9,56.2,NA,1.36,4.69,NA,Median,Years,S.E.M,,,,,126,11,NA,
100,Hamilton and Mestler 1969,Castration,Yes,Intact (no surgery),Male,Homo sapiens,Humans,Mentally handicaped individuals,,8-14 years (prepubertal),,81,64.7,76.3,NA,0.99,1.36,,Median lifespan (for those alive at 40),Years,S.E.M,,,,,320,18,,Median lifespan data from Table 10. This data is taken from those individuals alive at 40. Data for those alive at earlier ages is also available but not stratified into different surgery ages
101,Hamilton and Mestler 1969,Castration,Yes,Intact (no surgery),Male,Homo sapiens,Humans,Mentally handicaped individuals,,15-19 years,,81,64.7,72.9,NA,0.99,5.13,,Median lifespan (for those alive at 40),Years,S.E.M,,,,,320,72,,Median lifespan data from Table 10. This data is taken from those individuals alive at 40. Data for those alive at earlier ages is also available but not stratified into different surgery ages
102,Hamilton and Mestler 1969,Castration,Yes,Intact (no surgery),Male,Homo sapiens,Humans,Mentally handicaped individuals,,20-29 years,,81,64.7,69.6,NA,0.99,2.5,,Median lifespan (for those alive at 40),Years,S.E.M,,,,,320,61,,Median lifespan data from Table 10. This data is taken from those individuals alive at 40. Data for those alive at earlier ages is also available but not stratified into different surgery ages
103,Hamilton and Mestler 1969,Castration,Yes,Intact (no surgery),Male,Homo sapiens,Humans,Mentally handicaped individuals,,30-39 years,,81,64.7,68.9,NA,0.99,2.05,,Median lifespan (for those alive at 40),Years,S.E.M,,,,,320,49,,Median lifespan data from Table 10. This data is taken from those individuals alive at 40. Data for those alive at earlier ages is also available but not stratified into different surgery ages
3,Jacob et al 2004 A,Tubul-ligation,No,Intact (no surgery),Female,Rattus argentiventer,Ricefield rats,,Outdoor enclosure,Unknown - wild caught,,2,0.28,0.67,NA,6,34,NA,Survival rate (%),One breeding season,S.E.M,,,,,18,6,NA,25% population sterilized data from two enclosures pooled
4,Jacob et al 2004 A,Tubul-ligation,No,Intact (no surgery),Female,Rattus argentiventer,Ricefield rats,,Outdoor enclosure,Unknown - wild caught,,3,0.14,0.25,NA,6,8,NA,Survival rate (%),One breeding season,S.E.M,,,,,12,12,NA,50% population sterilzed  data from two enclosures pooled
5,Jacob et al 2004 A,Tubul-ligation,No,Intact (no surgery),Female,Rattus argentiventer,Ricefield rats,,Outdoor enclosure,Unknown - wild caught,,4,0.22,0.17,NA,6,6,NA,Survival rate (%),One breeding season,S.E.M,,,,,6,18,NA,75% population sterilized  data from two enclosures pooled
6,Jacob et al 2004 B,Tubul-ligation,No,Intact (no surgery),Female,Rattus argentiventer,Ricefield rats,,Wild,Unknown - wild caught,,10,0.42,0.41,NA,0.17,0.11,NA,Survival rate (%),two months,deviance,,,,,13,24,NA,Radiocollared - Animals spread across 4 plots giving error for survival
7,Jacob et al 2004 B,Progesterone treatment,No,Untreated,Female,Rattus argentiventer,Ricefield rats,,Wild,Unknown - wild caught,,10,0.4,0.41,NA,0,0.11,NA,Survival rate (%),two months,deviance,,,,,15,24,NA,Radiocollared -Animals spread across 4 plots giving error for survival. Progesterone treatment wore off and some females got pregnant
8,Twigg et al 2000,Tubul-ligation,No,Sham surgery or no surgery,Female,Oryctolagus cuniculus,Rabbits,,Outdoor enclosure,Unknown - wild caught,,5,0.133,0.418,0.165,NA,NA,NA,Survival rate (%),Four years,NA,,,,,225,165,435,1993 cohorts
9,Twigg et al 2000,Tubul-ligation,No,Sham surgery or no surgery,Female,Oryctolagus cuniculus,Rabbits,,Outdoor enclosure,Unknown - wild caught,,6,0.239,0.363,0.221,NA,NA,NA,Survival rate (%),Four years,NA,,,,,109,63,267,1994 cohorts
10,Twigg et al 2000,Tubul-ligation,No,Sham surgery or no surgery,Female,Oryctolagus cuniculus,Rabbits,,Outdoor enclosure,Unknown - wild caught,,7,0.21,0.314,0.209,NA,NA,NA,Survival rate (%),Four years,NA,,,,,252,155,382,1995 cohorts - Also survival data and data split into different densities
11,Gibbs and Jewel 1996,Castration ,Yes,Sham surgery,Male,Myodes glareolus,Bank voles,,Outdoor enclosure,Immature,,8,0.782,0.957,NA,NA,NA,NA,Survival rate (%),6 months,NA,,,,,23,23,NA,No reproduction in enclosure so density both treatments exposed to would be the same
12,Gibbs and Jewel 1996,Castration ,Yes,Sham surgery,Male,Myodes glareolus,Bank voles,,Outdoor enclosure,Immature,,9,0.759,100,0.7,NA,NA,NA,Survival rate (%),11 months,NA,,,,,29,18,40,Some intacts were in a control enclosure without castrates. In the enclosure with castrates the density in the enclosure increased slightly quicker
13,Zakeri et al 2019,Ovariectomy,Yes,Intact (no surgery),Female ,Mus musculus,Mice,NMRI,Laboratory,10 months,,11,0.36,0.5,NA,NA,NA,NA,Survival rate (%),13 months,NA,,,,,16,16,NA,Its the sterilization treatment that is compared to two different types of control in this study
14,Zakeri et al 2019,Ovariectomy,Yes,Sham surgery,Female ,Mus musculus,Mice,NMRI,Laboratory,10 months,,11,0.33,0.5,NA,NA,NA,NA,Survival rate (%),13 months,NA,,,,,16,16,NA,Its the sterilization treatment that is compared to two different types of control in this study
22,Benedusi et al 2015,Castration,Yes,Sham surgery,Male,Mus musculus,Mice,C57BL76 (ERE-LucRepTOP䋢),Laboratory,5 Months,,19,0.1,0.35,NA,NA,NA,NA,Survival rate (%),15 Months,NA,,,,,20,20,NA,
23,Benedusi et al 2015,Ovariectomy,Yes,Sham surgery,Female,Mus musculus,Mice,C57BL76 (PPRE-lucRepTOP䋢),Laboratory,5 Months,,20,,,,,,,Survival rate (%),20 Months,NA,,,,,,,NA,Have emailed author for data.Females were removed at different points and so not possible to work out exactly what animals should be included.
25,Cox et al 2014,Ovariectomy,Yes,Sham surgery,Female,Anolis sagrei,Anole lizards,brown anole,Wild,Unknown - wild caught,,22,0.26,0.33,NA,NA,NA,NA,Survival rate (%),One breeding season (May-Sept),NA,,,,,168,170,NA,"Raw data from Dyrad. My survival estimates from survival dont equal those extracted from the model, that probably includes covariates"
26,Cox et al 2014,Ovariectomy,Yes,Sham surgery,Female,Anolis sagrei,Anole lizards,brown anole,Wild,Unknown - wild caught,,22,0.3,0.2,NA,NA,NA,NA,Survival rate (%),Winter (Sept-May),NA,,,,,20,20,NA,Remaining animals from first mortality assessment and only controls where fat was not removed. My survival estimates from those alive after monitored periof
27,Cox and Calsbeek 2010,Ovariectomy,Yes,Sham surgery,Female,Anolis sagrei,Anole lizards,brown anole,Wild,Unknown - wild caught,,23,0.08,0.24,NA,NA,NA,NA,Survival rate (%),One year,NA,,,,,188,194,NA,"Data is also available for Summer and winter mortality, seperately"
28,Cox et al 2010,Ovariectomy,Yes,Sham surgery,Female,Anolis sagrei,Anole lizards,brown anole,Wild,Unknown - wild caught,,24,0.23,0.34,NA,NA,NA,NA,Survival rate (%),One year,NA,,,,,105,106,NA,
29,Reedy et al 2016,Ovariectomy,Yes,Sham surgery,Female,Anolis sagrei,Anole lizards,brown anole,Wild,Unknown - wild caught,,25,0.25,0.21,0.55,NA,NA,NA,Survival rate (%),10 weeks (of breeding season),NA,,,,,110,110,60,
30,Reedy et al 2016,Castration,Yes,Sham surgery,Male,Anolis sagrei,Anole lizards,brown anole,Wild,Unknown - wild caught,,26,0.55,0.28,0.25,NA,NA,NA,Survival rate (%),10 weeks (of breeding season),NA,,,,,60,60,110,
81,Williams et al 2007,Tubul-ligation,No,Intact (no surgery),Female,Oryctolagus cuniculus,Rabbits,European Rabbit,Wild,Unknown - wild caught,,65,0.271,0.497,0.269,NA,NA,NA,Survival rate (%),One year,NA,,,,,70,143,331,1993 cohort_treatment shared between two controls
82,Williams et al 2007,Tubul-ligation,No,Sham surgery,Female,Oryctolagus cuniculus,Rabbits,European Rabbit,Wild,Unknown - wild caught,,65,0.271,0.497,0.269,NA,NA,NA,Survival rate (%),One year,NA,,,,,140,143,331,1994 cohort_treatment shared between two controls
83,Williams et al 2007,Tubul-ligation,No,Intact (no surgery),Female,Oryctolagus cuniculus,Rabbits,European Rabbit,Wild,Yearling,,66,0.512,0.516,0.271,NA,NA,NA,Survival rate (%),One year,NA,,,,,41,128,280,1994 cohort_Treatment shared
84,Williams et al 2007,Tubul-ligation,No,Sham surgery,Female,Oryctolagus cuniculus,Rabbits,European Rabbit,Wild,Yearling,,66,0.377,0.516,0.271,NA,NA,NA,Survival rate (%),One year,NA,,,,,77,128,280,1994 cohort_Treatment shared
85,Williams et al 2007,Tubul-ligation,No,Intact (no surgery),Female,Oryctolagus cuniculus,Rabbits,European Rabbit,Wild,Yearling,,67,0.279,0.518,0.347,NA,NA,NA,Survival rate (%),One year,NA,,,,,43,114,236,1995 cohort_Treatment shared
86,Williams et al 2007,Tubul-ligation,No,Sham surgery,Female,Oryctolagus cuniculus,Rabbits,European Rabbit,Wild,Yearling,,67,0.338,0.518,0.347,NA,NA,NA,Survival rate (%),One year,NA,,,,,68,114,236,1995 cohort_Treatment shared
89,Ramsey 2000,Tubul-ligation,No,Sham surgery,Female ,Trichosurus vulpecula,Possums,brushtail possums,Wild,Various,,70,0.78,0.87,NA,NA,NA,NA,Survival rate (%),Annual (taken from 4 years),NA,,,,,56,56,,"Orongorono 50% sterility_Survival from Fig 7, sample sizes from number of animals released over the years 1996-1999"
90,Ramsey 2000,Tubul-ligation,No,Sham surgery,Female ,Trichosurus vulpecula,Possums,brushtail possums,Wild,Various,,71,0.72,0.83,NA,NA,NA,NA,Survival rate (%),Annual (taken from 4 years),NA,,,,,36,142,,"Orongorono 80% sterility_Survival from Fig 7, sample sizes from number of animals released over the years 1996-1999"
91,Ramsey 2000,Tubul-ligation,No,Sham surgery,Female ,Trichosurus vulpecula,Possums,brushtail possums,Wild,Various,,72,0.63,0.76,NA,NA,NA,NA,Survival rate (%),Annual (taken from 4 years),NA,,,,,215,215,,"Turitea 50% sterility_Survival from Fig 7, sample sizes from number of animals released over the years 1996-1999. Confidence intervals are provided"
92,Ramsey 2000,Tubul-ligation,No,Sham surgery,Female ,Trichosurus vulpecula,Possums,brushtail possums,Wild,Various,,73,0.6,0.74,NA,NA,NA,NA,Survival rate (%),Annual (taken from 4 years),NA,,,,,31,123,,"Turitea 80% sterility_Survival from Fig 7, sample sizes from number of animals released over the years 1996-1999"
