Order_extracted,Study,Controlled_treatments,Type_of_sterilization,Gonads_removed,Control_treatment,Shamtreatment_moderator,Sex,Species_Latin,Species,Strain,Environment,Wild_or_semi_wild,Age_at_treatment,Maturity_at_treatment,Maturity_at_treatment_ordinal,Duration_of_treatment,Shared_control,Control_lifespan_variable,Treatment_lifespan_variable,Opposite_sex_lifespan_variable,Error_control,Error_experimental,Error_opposite_sex,Lifespan_parameter,Lifespan_unit,Error_unit,Error_control_SD,Error_experimental_SD,Error_opposite_sex_SD,Coefficent_difference_to_control,Lower_interval,Upper_interval,Coefficent_unit,Sample_size_control,Sample_size_sterilization,Sample_size_opposite_sex,Notes,Notes2,Notes3
27,Cox and Calsbeek 2010,Yes,Ovariectomy,Yes,Sham surgery,Yes,Female,Anolis sagrei,Anole lizards,,Wild,Yes,Unknown - wild caught,Adult,4,,23,0.08,0.24,NA,NA,NA,NA,Survival rate (%),One year,NA,,,,,,,,188,194,NA,"Data is also available for Summer and winter mortality, seperately",,
28,Cox et al 2010,Yes,Ovariectomy,Yes,Sham surgery,Yes,Female,Anolis sagrei,Anole lizards,,Wild,Yes,Adult - wild caught,Adult,4,,24,0.23,0.34,NA,NA,NA,NA,Survival rate (%),One year,NA,,,,,,,,105,106,NA,,,
29,Reedy et al 2016,Yes,Ovariectomy,Yes,Sham surgery,Yes,Female,Anolis sagrei,Anole lizards,,Wild,Yes,Unknown - wild caught adult after start of breeding,Adult (young),4,,25,0.25,0.21,0.55,NA,NA,NA,Survival rate (%),10 weeks (of breeding season),NA,,,,,,,,110,110,60,,,
30,Reedy et al 2016,Yes,Castration,Yes,Sham surgery,Yes,Male,Anolis sagrei,Anole lizards,,Wild,Yes,Unknown - wild caught adult after start of breeding,Adult (young),4,,26,0.55,0.28,0.25,NA,NA,NA,Survival rate (%),10 weeks (of breeding season),NA,,,,,,,,60,60,110,,,
31,Drori and Folman 1976,Yes,Castration,Yes,Intact (no surgery),No,Male,Rattus norvegicus,Rat,Albino,Laboratory,No,38-44 days. Stated as prepuberty,Prepuberty,2,,27,727,817,849,26,32,26,Mean,Days,S.E.M,182,224,182,,,,,49,49,49,"Authors state that they castrated animals shortly before puberty, so coded as prepuberty",,
32,Garratt et al 2021,Yes,Castration,Yes,Sham surgery,Yes,Male,Mus musculus,Mice,C57BL6,Laboratory,No,7-8 weeks,Adult (young),4,,28,952,960,956,20.7,36.4,28.5,Median,Days,S.E.M,117.096883,218.4,156.1009289,,,,,32,36,30,,,
33,Hamilton et al 1969,No,Castration,Yes,Intact (no surgery),No,Male,Felis catus,Cats,Outbred,Domestic,No,Under 5 months (before sexual maturity),Prepuberty,2,,29,5.3,12.2,7.7,0.42,1.48,0.52,Mean,Years,S.E.M,4.136520277,5.336215888,4.794163118,,,,,97,13,85,Correlative data is provided in a figure showing exact age at gonadectomy and lifespan for each individual,,
34,Hamilton et al 1969,No,Castration,Yes,Intact (no surgery),No,Male,Felis catus,Cats,Outbred,Domestic,No,6 to 7 months,Puberty,3,,29,5.3,8.6,7.7,0.42,1.12,0.52,Mean,Years,S.E.M,4.136520277,5.371331306,4.794163118,,,,,97,23,85,,,
35,Hamilton et al 1969,No,Castration,Yes,Intact (no surgery),No,Male,Felis catus,Cats,Outbred,Domestic,No,over 8 months,Adult,4,,29,5.3,7.2,7.7,0.42,0.71,0.52,Mean,Years,S.E.M,4.136520277,4.376733942,4.794163118,,,,,97,38,85,,,
36,Hamilton et al 1969,No,Ovariectomy,Yes,Intact (no surgery),No,Female,Felis catus,Cats,Outbred,Domestic,No,"Various, median 6 months",,,,30,7.7,8.2,5.3,0.52,0.52,0.42,Mean,Years,S.E.M,4.794163118,4.5033321,4.136520277,,,,,85,75,97,,,
37,Hamilton et al 1969,No,Ovariectomy,Yes,Intact (no surgery),No,Female,Felis catus,Cats,Name breeds,Domestic,No,"Various, median 6 months",,,,31,6.2,8.2,4.6,0.84,0.81,0.7,Mean,Years,S.E.M,5.04,4.723071035,3.5,,,,,36,34,25,,,
38,Hamilton et al 1969,No,Castration,Yes,Intact (no surgery),No,Male,Felis catus,Cats,Name breeds,Domestic,No,"Various, median 6 months",,,,32,4.6,6.9,6.2,0.7,0.59,0.84,Mean,Years,S.E.M,3.5,4.971428366,5.04,,,,,25,71,36,,,
39,Waters et al 2011,No,Ovariectomy,Yes,Intact (no surgery),No,Female,Canis lupus,Dogs,Rottweilers,Domestic,No,6.1-8 years,Adult (old),4,,33,0.267,1,NA,,,,Likelyhood of exceptional longevity,Survival to 13,NA,,,,,,,,14,14,NA,"Look at whether animals were normally lived, or lived over 13 years. Author is providing me with the raw data",,
40,Waters et al 2011,No,Ovariectomy,Yes,Intact (no surgery),No,Female,Canis lupus,Dogs,Rottweilers,Domestic,No,2.1-6 years,Adult (young),4,,33,0.267,0.439,NA,,,,Likelyhood of exceptional longevity,Survival to 13,NA,,,,,,,,14,57,NA,"Look at whether animals were normally lived, or lived over 13 years. Author is providing me with the raw data",,
41,Waters et al 2011,No,Ovariectomy,Yes,Intact (no surgery),No,Female,Canis lupus,Dogs,Rottweilers,Domestic,No,0.4-2 years. Estimated as puberty because rott weilers start to go through heat at approximately 12-18 months,Puberty,3,,33,0.267,0.323,NA,,,,Likelyhood of exceptional longevity,Survival to 13,NA,,,,,,,,14,65,NA,"Look at whether animals were normally lived, or lived over 13 years. Author is providing me with the raw data",,
42,Holland et al 1977,Yes,Ovariectomy,Yes,Intact (no surgery),No,Female,Mus musculus,Mice,RFM,Laboratory,No,3-4 weeks,Prepuberty,2,,34,638,628,NA,16,16,NA,Mean,Days,S.E.M,167.0449041,162.382265,NA,,,,,109,103,NA,Just used data from non-irradiated group. Lots of pathology data,,
43,Kirkman and Yau 1972,No,Castration,Yes,Intact (no surgery),No,Male,Mesocricetus auratus,Hamsters,Syrian Hamsters,Laboratory,No,Unknown - not given,,,,35,632,508,543,,,,Mean,Days,,222.91,151.3,222.95,,,,,629,72,578,"Do not have error presented in paper. The proportion of animals dying in 10 brackets of different ages is presented that could be used (Figs 3 and 4). Upper and low quartiles estimated from figure 3 when number of animals dying in 100 day periods is given. Have used the middle number within this period for the quartile value (e.g. 550-850 for intact males, 350-550 for castrated males) ",,
44,Kirkman and Yau 1972,No,Ovariectomy,Yes,Intact (no surgery),No,Female,Mesocricetus auratus,Hamsters,Syrian Hamsters,Laboratory,No,Unknown - not given,,,,36,543,391,632,,,,Mean,Days,,222.95,155.44,222.91,,,,,578,31,629,"Do not have error presented in paper. The proportion of animals dying in 10 brackets of different ages is presented that could be used (Figs 3 and 4). Upper and low quartiles estimated from figure 3 when number of animals dying in 100 day periods is given. Have used the middle number within this period for the quartile value (e.g. 450-750 for intact females, 250-450 for castrated females) ",,
45,Sichuk 1965,Yes,Castration,Yes,Sham surgery,Yes,Male,Mesocricetus auratus,Hampsters,Syrian Hampsters,Laboratory,No,6 weeks,Puberty,3,,37,612,578,589,,,,Mean,Days,,222.91,151.3,222.95,,,,,92,90,94,Use - SD from Kirkman & Yau;Error not provided. Mean lifespan comes from the lifespan of both those with thrumobis and those that do not have it. Calculated the mean of these two values weighed against the sample size of each group,,
46,Sichuk 1965,Yes,Ovariectomy,Yes,Sham surgery,Yes,Female,Mesocricetus auratus,Hampsters,Syrian Hampsters,Laboratory,No,6 weeks,Puberty,3,,38,589,586,612,,,,Mean,Days,,222.95,155.44,222.91,,,,,94,92,92,Use - SD from Kirkman & Yau;Error not provided. Mean lifespan comes from the lifespan of both those with thrumobis and those that do not have it. Calculated the mean of these two values weighed against the sample size of each group,,
47,Mitchel et al 1999,No,Castration ,Yes,Intact (no surgery),No,Male,Canis lupus,Dogs,Various breeds,Domestic,No,Various,,,,39,131,128,130,1.4,2.7,1.8,Mean,Months,S.E.M,50.02919148,46.05854969,51.95113088,,,,,1277,291,833,Used all causes of death. Data collected on the basis of surveys that pet owners filled out about their last pets age at death,,
48,Mitchel et al 1999,No,Ovariectomy,Yes,Intact (no surgery),No,Female,Canis lupus,Dogs,Various breeds,Domestic,No,Various,,,,40,130,144,131,1.8,1.5,1.4,Mean,Months,S.E.M,51.95113088,40.24922359,50.02919148,,,,,833,720,1277,Used all causes of death. Data collected on the basis of surveys that pet owners filled out about their last pets age at death,,
49,Moore et al 2001,No,Castration,Yes,Intact (no surgery),No,Male,Canis lupus,Dogs,Military working dogs,Domestic,No,Various,,,,41,9.97,10.49,NA,2.1,2.06,NA,Median,Years,Standard deviation,2.1,2.06,NA,,,,,641,143,NA,"Shinichi made decisoin to halve the rest of N to control and the opposit sex;Do not know the sample size of castrated males. 641/927 animals in the study are intact males, the remaining animals are either castrated males or spayed females but we do not know sample size of each of these two groups.",,
50,Nieschlag et al 1993,No,Castration,Yes,Intact (no surgery),No,Male,Homo sapiens,Humans,,,No,Castrate prepubertal boys to prevent maturation of voice,Prepuberty,2,,42,64.3,65.5,NA,14.1,13.8,NA,Mean,Years,Standard Deviation,14.1,13.8,NA,,,,,200,50,NA,,,
51,Slonaker 1930,Yes,Castration,Yes,Intact (no surgery),No,Male,Rattus norvegicus,Rat,Albino,Laboratory,No,44 days. Testes had decended by the operation,Adult (young),4,,43,788,770,863,22.25,28,27.69,Mean,Days,Probable error,32.98739807,41.51223128,41.05263158,,,,,10,8,17,,,
52,Slonaker 1930,Yes,Vasectomy,No,Intact (no surgery),No,Male,Rattus norvegicus,Rat,Albino,Laboratory,No,46.5 days. Testes had decended by the operation,Adult (young),4,,43,788,685,863,22.25,39.72,27.69,Mean,Days,Probable error,32.98739807,58.88806523,41.05263158,,,,,10,12,17,Standard deviation calculated from probable error as P.E./0.6745. Calculation derived from P.E. Wikipedia page,,
53,Slonaker 1930,Yes,Ovariectomy,Yes,Intact (no surgery),No,Female,Rattus norvegicus,Rat,Albino,Laboratory,No,27.5 days,Prepuberty,2,,44,863,755,788,27.69,22.15,22.25,Mean,Days,Probable error,41.05263158,32.8391401,32.98739807,,,,,17,37,10,,,
54,Slonaker 1930,Yes,Hysterectomy,No,Intact (no surgery),No,Female,Rattus norvegicus,Rat,Albino,Laboratory,No,29 days,Prepuberty,2,,44,863,855,788,27.69,12.67,22.25,Mean,Days,Probable error,41.05263158,18.78428466,32.98739807,,,,,17,60,10,,,
55,Storer et al 1982,Yes,Ovariectomy,Yes,Intact (no surgery),No,Female,Mus musculus,Mice,RFM,Laboratory,No,50 days,Adult (young),4,,45,643.4,662.2,NA,5.91,7.31,NA,Mean,Days,S.E.M.,161.3116068,134.1937618,NA,,,,,745,337,NA,Non-irradiated controls from an irradiation experiment,,
56,Storer et al 1982,Yes,Ovariectomy,Yes,Intact (no surgery),No,Female,Mus musculus,Mice,Balb/c,Laboratory,No,50 days,Adult (young),4,,46,762.9,795.5,NA,6.21,10.95,NA,Mean,Days,S.E.M.,179.0161085,197.7073974,NA,,,,,831,326,NA,Non-irradiated controls from an irradiation experiment,,
57,Hoffman et al 2018,No,Castration,Yes,Intact (no surgery),No,Male,Canis lupus,Dogs,Various breeds,Domestic,No,Various,,,,47,10.86,11.64,10.86,0.11,0.07,0.14,Mean,Years,S.E.M,3.327386362,2.033617466,3.685485043,,,,,915,844,693,Vetcompass database,,
58,Hoffman et al 2018,No,Ovariectomy,Yes,Intact (no surgery),No,Female,Canis lupus,Dogs,Various breeds,Domestic,No,Various,,,,48,10.86,12.12,10.86,0.14,0.19,0.11,Mean,Years,S.E.M,3.685485043,5.766116544,3.327386362,,,,,693,921,915,Vetcompass database,,
59,Hoffman et al 2018,No,Castration ,Yes,Intact (no surgery),No,Male,Canis lupus,Dogs,Various breeds,Domestic,No,Various,,,,49,8,9.21,7.68,0.07,0.04,0.07,Mean,Years,S.E.M,8.556336833,4.241509165,6.018371873,,,,,14941,11244,7392,"VMDB - individual data for breeds available in supplementary, but just mean lifespan without error",,
60,Hoffman et al 2018,No,Ovariectomy,Yes,Intact (no surgery),No,Female,Canis lupus,Dogs,Various breeds,Domestic,No,Various,,,,50,7.68,9.73,8,0.07,0.04,0.07,Mean,Years,S.E.M,6.018371873,5.599714278,8.556336833,,,,,7392,19598,14941,"VMDB - individual data for breeds available in supplementary, but just mean lifespan without error",,
61,Mason et al 2009,Yes,Ovariectomy,Yes,Intact (no surgery),No,Female,Mus musculus,Mice,CBA,Laboratory,No,21 days,Prepuberty,2,,51,727.6,715,NA,15.9,20,NA,Mean,Days,S.E.M,89.94398257,101.9803903,NA,,,,,32,26,NA,Worked out sample size from fig 4 This and the other entry for this paper have two different control comparisons,,
62,Mason et al 2009,Yes,Ovariectomy,Yes,Intact (no surgery),No,Female,Mus musculus,Mice,CBA,Laboratory,No,21 days,Prepuberty,2,,51,725.6,715,NA,20.4,20,NA,Mean,Days,S.E.M,117.189078,101.9803903,NA,,,,,33,26,NA,Worked out sample size from fig 4,,
63,Talbert and Hamilton 1965,Yes,Castration,Yes,Sham surgery,Yes,Male,Rattus norvegicus,Rats,Lewis,Laboratory,No,Birth,Birth,1,,52,454,521,484,18,27,19,Mean,Days,S.E.M,108,174.9799989,123.1340733,,,,,36,42,42,,,
64,Talbert and Hamilton 1965,Yes,Castration,Yes,Sham surgery,Yes,Male,Rattus norvegicus,Rats,Lewis,Laboratory,No,22-28 days,Prepuberty,2,,52,454,488,484,18,28,19,Mean,Days,S.E.M,108,165.6502339,123.1340733,,,,,36,35,42,,,
65,Talbert and Hamilton 1965,Yes,Castration,Yes,Sham surgery,Yes,Male,Rattus norvegicus,Rats,Lewis,Laboratory,No,100 days,Adult (young),4,,52,454,439,484,18,25,19,Mean,Days,S.E.M,108,119.8957881,123.1340733,,,,,36,23,42,,,
66,Talbert and Hamilton 1965,Yes,Ovariectomy,Yes,Sham surgery,Yes,Female,Rattus norvegicus,Rats,Lewis,Laboratory,No,Birth,Birth,1,,53,484,574,454,19,33,18,Mean,Days,S.E.M,123.1340733,183.736224,108,,,,,42,31,36,,,
67,Talbert and Hamilton 1965,Yes,Ovariectomy,Yes,Sham surgery,Yes,Female,Rattus norvegicus,Rats,Lewis,Laboratory,No,22-28 days,Prepuberty,2,,53,484,480,454,19,44,18,Mean,Days,S.E.M,123.1340733,206.3782934,108,,,,,42,22,36,,,
68,Talbert and Hamilton 1965,Yes,Ovariectomy,Yes,Sham surgery,Yes,Female,Rattus norvegicus,Rats,Lewis,Laboratory,No,100 days,Adult (young),4,,53,484,515,454,19,41,18,Mean,Days,S.E.M,123.1340733,183.3575742,108,,,,,42,20,36,,,
69,Tapprest et al 2017,No,Castration,Yes,Intact (no surgery),No,Male,Equus ferus,Draught horse,,Farm,No,Unknown,Unknown,,,54,0.152,0.174,0.103,,,,Survival rate (%),to 10 years,,,,,,,,,132,23,638,"No error provided with median lifespan but there is proportion surviving to a specific age, which includes condfidence intervals, and survival curves. Have used survival to 10 yeays of age.",,
70,Tapprest et al 2017,No,Castration,Yes,Intact (no surgery),No,Male,Equus ferus,Pony,,Farm,No,Unknown,Unknown,,,55,0.697,0.697,0.709,,,,Survival rate (%),to 10 years,,,,,,,,,211,201,533,"No error provided with median lifespan but there is proportion surviving to a specific age, which includes condfidence intervals, and survival curves. Have used survival to 10 yeays of age.",,
71,Tapprest et al 2017,No,Castration,Yes,Intact (no surgery),No,Male,Equus ferus,Saddle horse,,Farm,No,Unknown,Unknown,,,56,0.562,0.554,0.575,,,,Survival rate (%),to 10 years,,,,,,,,,1077,2203,4124,"No error provided with median lifespan but there is proportion surviving to a specific age, which includes condfidence intervals, and survival curves. Have used survival to 10 yeays of age.",,
72,Hamilton 1965 ,No,Castration,Yes,Intact (no surgery),No,Male,Felis catus,Cats,Various breeds,Domestic,No,6 -12 months for those that were known,Puberty or adult,,,57,3.2,6.8,7.7,0.34,0.58,0.68,Mean,Years,S.E.M,2.741167634,4.492660682,5.178725712,,,,,65,60,58,"Error displayed must be standard error not standard deviation. I initially interpreted the symbol used as standard deviation but actually it must be SEM, and this is what Hamilton usually uses. Otherwise they are abnormally low. ",,
73,Hamilton 1965 ,No,Ovariectomy,Yes,Intact (no surgery),No,Female,Felis catus,Cats,Various breeds,Domestic,No,6 -12 months for those that were known,Puberty or adult,,,58,7.7,9.2,3.2,0.68,0.88,0.34,Mean,Years,S.E.M,5.178725712,4.656522307,2.741167634,,,,,58,28,65,"Error displayed must be standard error not standard deviation. I initially interpreted the symbol used as standard deviation but actually it must be SEM, and this is what Hamilton usually uses. Otherwise they are abnormally low. ",,
74,Hamilton 1965 ,No,Castration,Yes,Intact (no surgery),No,Male,Felis catus,Cats,Various breeds,Domestic,No,6 -12 months for those that were known,Puberty or adult,,,59,6.1,8.5,7.4,0.66,0.56,0.72,Mean,Years,S.E.M,4.713342763,4.913980057,5.091168825,,,,,51,77,50,"Error displayed must be standard error not standard deviation. I initially interpreted the symbol used as standard deviation but actually it must be SEM, and this is what Hamilton usually uses. Otherwise they are abnormally low. ",,
75,Hamilton 1965 ,No,Ovariectomy,Yes,Intact (no surgery),No,Female,Felis catus,Cats,Various breeds,Domestic,No,6 -12 months for those that were known,Puberty or adult,,,60,7.4,8.4,6.1,0.72,0.71,0.66,Mean,Years,S.E.M,5.091168825,4.762824792,4.713342763,,,,,50,45,51,"Error displayed must be standard error not standard deviation. I initially interpreted the symbol used as standard deviation but actually it must be SEM, and this is what Hamilton usually uses. Otherwise they are abnormally low. ",,
76,Huang et al 2017,No,Castration,Yes,Intact (no surgery),No,Male,Canis lupus,Dogs,Various breeds,Domestic,No,Various,,,,61,9,12,10,,,,Median,Years,Interquartile range,5.941,3.723,5.947,,,,,839,332,528,"Interquartile range Intact, 5.0-13.0; castrated 9.0-14.0",,
77,Huang et al 2017,No,Ovariectomy,Yes,Intact (no surgery),No,Female,Canis lupus,Dogs,Various breeds,Domestic,No,Various,,,,62,10,12,9,,,,Median,Years,Interquartile range,5.947,3.938,5.941,,,,,528,607,839,"Interquartile range Intact, 5.0-13.0; ovariectomy 9.7-15.0",,
