Order_extracted,Study,Controlled_treatments,Type_of_sterilization,Gonads_removed,Control_treatment,Sex,Species_Latin,Species,Strain,Environment,Wild_or_semi_wild,Age_at_treatment,Maturity_at_treatment,Maturity_at_treatment_ordinal,Duration_of_treatment,Shared_control,Control_lifespan_variable,Treatment_lifespan_variable,Opposite_sex_lifespan_variable,Error_control,Error_experimental,Error_opposite_sex,Lifespan_parameter,Lifespan_unit,Error_unit,Error_control_SD,Error_experimental_SD,Error_opposite_sex_SD,Coefficent_difference_to_control,Lower_interval,Upper_interval,Coefficent_unit,Sample_size_control,Sample_size_sterilization,Sample_size_opposite_sex,Notes
117,Bronson 1982,No,Castration,Yes,Intact (no surgery),Male,Canis lupus,Dogs,Various breeds,Domestic,No,Various,,,,94,8,9.9,7.7,5.2,6.8,4.4,Mean (from those alive after 2),Years,Standard Deviation,5.2,6.8,4.4,,,,,755,54,224,"Mean lifespan is that of those that are alive from 2 years of age. The authors also provide lifespan from birth, but point out that animals are not usually sterilized until at least 6 months, so this doesnt provide a fair comparison"
118,Bronson 1982,No,Ovariectomy,Yes,Intact (no surgery),Female,Canis lupus,Dogs,Various breeds,Domestic,No,Various,,,,95,7.7,8.8,8,4.4,6.9,5.2,Mean (from those alive after 2),Years,Standard Deviation,4.4,6.9,5.2,,,,,224,528,755,"Mean lifespan is that of those that are alive from 2 years of age. The authors also provide lifespan from birth, but point out that animals are not usually sterilized until at least 6 months, so this doesnt provide a fair comparison"
24,Cargil et al 2003,Yes,Ovariectomy,Yes,Intact (no surgery),Female,Mus musculus,Mice,CBA,Laboratory,No,21 days,Prepuberty,2,,21,599.29,578.64,NA,30.45,35.6,NA,Median,Days,S.E.M,158.2228413,178,NA,,,,,27,25,NA,Extracted median lifespan from data in figure and calculated SD
114,Cheng 2019,Yes,Castration,Yes,Sham surgery,Male,Mus musculus,Mice,UMHet3,Laboratory,No ,Under 30 days,Prepuberty,2,,91,0.81,0.97,NA,,,,Survival rate (%),500 days,NA,,,,,,,,238,238,NA,
27,Cox and Calsbeek 2010,Yes,Ovariectomy,Yes,Sham surgery,Female,Anolis sagrei,Anole lizards,,Wild,Yes,Unknown - wild caught,Adult,4,,23,0.08,0.24,NA,NA,NA,NA,Survival rate (%),One year,NA,,,,,,,,188,194,NA,"Data is also available for Summer and winter mortality, seperately"
28,Cox et al 2010,Yes,Ovariectomy,Yes,Sham surgery,Female,Anolis sagrei,Anole lizards,,Wild,Yes,Adult - wild caught,Adult,4,,24,0.23,0.34,NA,NA,NA,NA,Survival rate (%),One year,NA,,,,,,,,105,106,NA,
25,Cox et al 2014,Yes,Ovariectomy,Yes,Sham surgery,Female,Anolis sagrei,Anole lizards,,Wild,Yes,"Unknown - wild caught - assuming adult because caught at the same time of year as other studies, but work ""adult"" not specifically mentioned.",Adult,4,,22,0.26,0.33,NA,NA,NA,NA,Survival rate (%),One breeding season (May-Sept),NA,,,,,,,,168,170,NA,"Raw data from Dyrad. My survival estimates from survival dont equal those extracted from the model, that probably includes covariates"
26,Cox et al 2014,Yes,Ovariectomy,Yes,Sham surgery,Female,Anolis sagrei,Anole lizards,,Wild,Yes,Unknown - wild caught,Adult,4,,22,0.3,0.2,NA,NA,NA,NA,Survival rate (%),Winter (Sept-May),NA,,,,,,,,20,20,NA,Remaining animals from first mortality assessment and only controls where fat was not removed. My survival estimates from those alive after monitored period
15,Dorner 1973,Yes,Castration,Yes,Untreated,Male,Rattus norvegicus,Rat,Sprague-Dawley-Stammes,Laboratory,No,Day after birth,Birth,1,,12,570,696,NA,122,132,NA,Mean,days,Standard Deviation,122,132,NA,,,,,12,8,NA,
31,Drori and Folman 1976,Yes,Castration,Yes,Intact (no surgery),Male,Rattus norvegicus,Rat,Albino,Laboratory,No,38-44 days. Stated as prepuberty,Prepuberty,2,,27,727,817,849,26,32,26,Mean,Days,S.E.M,182,224,182,,,,,49,49,49,"Authors state that they castrated animals shortly before puberty, so coded as prepuberty"
32,Garratt et al 2021,Yes,Castration,Yes,Sham surgery,Male,Mus musculus,Mice,C57BL6,Laboratory,No,7-8 weeks,Adult (young),4,,28,952,960,956,20.7,36.4,28.5,Median,Days,S.E.M,117.096883,218.4,156.1009289,,,,,32,36,30,
11,Gipps and Jewel 1979,Yes,Castration ,Yes,Sham surgery,Male,Myodes glareolus,Bank vole,,Outdoor enclosure,No,Immature,Prepuberty,2,,8,0.782,0.957,NA,NA,NA,NA,Survival rate (%),6 months,NA,,,,,,,,23,23,NA,No reproduction in enclosure so density both treatments exposed to would be the same
12,Gipps and Jewel 1979,Yes,Castration ,Yes,Sham surgery,Male,Myodes glareolus,Bank vole,,Outdoor enclosure,No,Immature,Prepuberty,2,,9,0.759,1,0.7,NA,NA,NA,Survival rate (%),11 months,NA,,,,,,,,29,18,40,Some intacts were in a control enclosure without castrates. In the enclosure with castrates the density in the enclosure increased slightly quicker
72,Hamilton 1965 ,No,Castration,Yes,Intact (no surgery),Male,Felis catus,Cats,Various breeds,Domestic,No,6 -12 months for those that were known,Puberty or adult,,,57,3.2,6.8,7.7,0.34,0.58,0.68,Mean,Years,S.E.M,2.741167634,4.492660682,5.178725712,,,,,65,60,58,"Error displayed must be standard error not standard deviation. I initially interpreted the symbol used as standard deviation but actually it must be SEM, and this is what Hamilton usually uses. Otherwise they are abnormally low. "
73,Hamilton 1965 ,No,Ovariectomy,Yes,Intact (no surgery),Female,Felis catus,Cats,Various breeds,Domestic,No,6 -12 months for those that were known,Puberty or adult,,,58,7.7,9.2,3.2,0.68,0.88,0.34,Mean,Years,S.E.M,5.178725712,4.656522307,2.741167634,,,,,58,28,65,"Error displayed must be standard error not standard deviation. I initially interpreted the symbol used as standard deviation but actually it must be SEM, and this is what Hamilton usually uses. Otherwise they are abnormally low. "
74,Hamilton 1965 ,No,Castration,Yes,Intact (no surgery),Male,Felis catus,Cats,Various breeds,Domestic,No,6 -12 months for those that were known,Puberty or adult,,,59,6.1,8.5,7.4,0.66,0.56,0.72,Mean,Years,S.E.M,4.713342763,4.913980057,5.091168825,,,,,51,77,50,"Error displayed must be standard error not standard deviation. I initially interpreted the symbol used as standard deviation but actually it must be SEM, and this is what Hamilton usually uses. Otherwise they are abnormally low. "
75,Hamilton 1965 ,No,Ovariectomy,Yes,Intact (no surgery),Female,Felis catus,Cats,Various breeds,Domestic,No,6 -12 months for those that were known,Puberty or adult,,,60,7.4,8.4,6.1,0.72,0.71,0.66,Mean,Years,S.E.M,5.091168825,4.762824792,4.713342763,,,,,50,45,51,"Error displayed must be standard error not standard deviation. I initially interpreted the symbol used as standard deviation but actually it must be SEM, and this is what Hamilton usually uses. Otherwise they are abnormally low. "
100,Hamilton and Mestler 1969,No,Castration,Yes,Intact (no surgery),Male,Homo sapiens,Humans,Mentally handicaped individuals,,No,8-14 years (prepubertal),Prepuberty,2,,81,64.7,76.3,NA,0.99,1.36,,Median lifespan (for those alive at 40),Years,S.E.M,17.70965838,5.769991334,NA,,,,,320,18,,Median lifespan data from Table 10. This data is taken from those individuals alive at 40. Data for those alive at earlier ages is also available but not stratified into different surgery ages
104,Hamilton and Mestler 1969,No,Ovariectomy,Yes,Intact (no surgery),Female,Homo sapiens,Humans,Mentally handicaped individuals,,No,13-46 years old,Adult,4,,82,33.9,56.2,NA,1.36,4.69,NA,Median,Years,S.E.M,15.26596214,15.55497027,NA,,,,,126,11,NA,Only one female was 13 years and all the rest were clearly adult so group coded as adult
101,Hamilton and Mestler 1969,No,Castration,Yes,Intact (no surgery),Male,Homo sapiens,Humans,Mentally handicaped individuals,,No,15-19 years,Adult (young),4,,81,64.7,72.9,NA,0.99,5.13,,Median lifespan (for those alive at 40),Years,S.E.M,17.70965838,43.52949345,NA,,,,,320,72,,Median lifespan data from Table 10. This data is taken from those individuals alive at 40. Data for those alive at earlier ages is also available but not stratified into different surgery ages
102,Hamilton and Mestler 1969,No,Castration,Yes,Intact (no surgery),Male,Homo sapiens,Humans,Mentally handicaped individuals,,No,20-29 years,Adult (young),4,,81,64.7,69.6,NA,0.99,2.5,,Median lifespan (for those alive at 40),Years,S.E.M,17.70965838,19.52562419,NA,,,,,320,61,,Median lifespan data from Table 10. This data is taken from those individuals alive at 40. Data for those alive at earlier ages is also available but not stratified into different surgery ages
103,Hamilton and Mestler 1969,No,Castration,Yes,Intact (no surgery),Male,Homo sapiens,Humans,Mentally handicaped individuals,,No,30-39 years,Adult (old),4,,81,64.7,68.9,NA,0.99,2.05,,Median lifespan (for those alive at 40),Years,S.E.M,17.70965838,14.35,NA,,,,,320,49,,Median lifespan data from Table 10. This data is taken from those individuals alive at 40. Data for those alive at earlier ages is also available but not stratified into different surgery ages
33,Hamilton et al 1969,No,Castration,Yes,Intact (no surgery),Male,Felis catus,Cats,Outbred,Domestic,No,Under 5 months (before sexual maturity),Prepuberty,2,,29,5.3,12.2,7.7,0.42,1.48,0.52,Mean,Years,S.E.M,4.136520277,5.336215888,4.794163118,,,,,97,13,85,Correlative data is provided in a figure showing exact age at gonadectomy and lifespan for each individual
34,Hamilton et al 1969,No,Castration,Yes,Intact (no surgery),Male,Felis catus,Cats,Outbred,Domestic,No,6 to 7 months,Puberty,3,,29,5.3,8.6,7.7,0.42,1.12,0.52,Mean,Years,S.E.M,4.136520277,5.371331306,4.794163118,,,,,97,23,85,
35,Hamilton et al 1969,No,Castration,Yes,Intact (no surgery),Male,Felis catus,Cats,Outbred,Domestic,No,over 8 months,Adult,4,,29,5.3,7.2,7.7,0.42,0.71,0.52,Mean,Years,S.E.M,4.136520277,4.376733942,4.794163118,,,,,97,38,85,
36,Hamilton et al 1969,No,Ovariectomy,Yes,Intact (no surgery),Female,Felis catus,Cats,Outbred,Domestic,No,"Various, median 6 months",,,,30,7.7,8.2,5.3,0.52,0.52,0.42,Mean,Years,S.E.M,4.794163118,4.5033321,4.136520277,,,,,85,75,97,
37,Hamilton et al 1969,No,Ovariectomy,Yes,Intact (no surgery),Female,Felis catus,Cats,Name breeds,Domestic,No,"Various, median 6 months",,,,31,6.2,8.2,4.6,0.84,0.81,0.7,Mean,Years,S.E.M,5.04,4.723071035,3.5,,,,,36,34,25,
38,Hamilton et al 1969,No,Castration,Yes,Intact (no surgery),Male,Felis catus,Cats,Name breeds,Domestic,No,"Various, median 6 months",,,,32,4.6,6.9,6.2,0.7,0.59,0.84,Mean,Years,S.E.M,3.5,4.971428366,5.04,,,,,25,71,36,
57,Hoffman et al 2018,No,Castration,Yes,Intact (no surgery),Male,Canis lupus,Dogs,Various breeds,Domestic,No,Various,,,,47,10.86,11.64,10.86,0.11,0.07,0.14,Mean,Years,S.E.M,3.327386362,2.033617466,3.685485043,,,,,915,844,693,Vetcompass database
58,Hoffman et al 2018,No,Ovariectomy,Yes,Intact (no surgery),Female ,Canis lupus,Dogs,Various breeds,Domestic,No,Various,,,,48,10.86,12.12,10.86,0.14,0.19,0.11,Mean,Years,S.E.M,3.685485043,5.766116544,3.327386362,,,,,693,921,915,Vetcompass database
59,Hoffman et al 2018,No,Castration ,Yes,Intact (no surgery),Male,Canis lupus,Dogs,Various breeds,Domestic,No,Various,,,,49,8,9.21,7.68,0.07,0.04,0.07,Mean,Years,S.E.M,8.556336833,4.241509165,6.018371873,,,,,14941,11244,7392,"VMDB - individual data for breeds available in supplementary, but just mean lifespan without error"
60,Hoffman et al 2018,No,Ovariectomy,Yes,Intact (no surgery),Female,Canis lupus,Dogs,Various breeds,Domestic,No,Various,,,,50,7.68,9.73,8,0.07,0.04,0.07,Mean,Years,S.E.M,6.018371873,5.599714278,8.556336833,,,,,7392,19598,14941,"VMDB - individual data for breeds available in supplementary, but just mean lifespan without error"
42,Holland et al 1997,Yes,Ovariectomy,Yes,Intact (no surgery),Female,Mus musculus,Mice,RFM,Laboratory,No,3-4 weeks,Prepuberty,2,,34,638,628,NA,16,16,NA,Mean,Days,S.E.M,167.0449041,162.382265,NA,,,,,109,103,NA,Just used data from non-irradiated group. Lots of pathology data
76,Huang et al 2017,No,Castration,Yes,Intact (no surgery),Male,Canis lupus,Dogs,Various breeds,Domestic,No,Various,,,,61,9,12,10,,,,Median,Years,Interquartile range,5.941,3.723,5.947,,,,,839,332,528,"Interquartile range Intact, 5.0-13.0; castrated 9.0-14.0"
77,Huang et al 2017,No,Ovariectomy,Yes,Intact (no surgery),Female,Canis lupus,Dogs,Various breeds,Domestic,No,Various,,,,62,10,12,9,,,,Median,Years,Interquartile range,5.947,3.938,5.941,,,,,528,607,839,"Interquartile range Intact, 5.0-13.0; ovariectomy 9.7-15.0"
99,Iwasa et al 2018,Yes,Ovariectomy,Yes,Sham surgery,Female,Rattus norvegicus,Rats,Sprague-Dawley,Laboratory,No,23 weeks,Late adult,4,,80,0.43,0.86,NA,,,,Survival rate (%),~85 weeks. ,NA,,,,,,,,8,7,NA,Calculated from a partial survival curve. Looked at when 50% of the control group died and then the number alive in the treatment group at this point
3,Jacob et al 2004 A,Yes,Tubul-ligation,No,Intact (no surgery),Female,Rattus argentiventer,Ricefield rats,,Outdoor enclosure,No,Unknown - wild caught (approx 100g),Adult (young),4,,2,0.28,0.67,NA,6,34,NA,Survival rate (%),One breeding season,S.E.M,,,,,,,,18,6,NA,25% population sterilized data from two enclosures pooled
4,Jacob et al 2004 A,Yes,Tubul-ligation,No,Intact (no surgery),Female,Rattus argentiventer,Ricefield rats,,Outdoor enclosure,No,Unknown - wild caught (approx 100g),Adult (young),4,,3,0.14,0.25,NA,6,8,NA,Survival rate (%),One breeding season,S.E.M,,,,,,,,12,12,NA,50% population sterilzed  data from two enclosures pooled
5,Jacob et al 2004 A,Yes,Tubul-ligation,No,Intact (no surgery),Female,Rattus argentiventer,Ricefield rats,,Outdoor enclosure,No,Unknown - wild caught (approx 100g),Adult (young),4,,4,0.22,0.17,NA,6,6,NA,Survival rate (%),One breeding season,S.E.M,,,,,,,,6,18,NA,75% population sterilized  data from two enclosures pooled
6,Jacob et al 2004 B,Yes,Tubul-ligation,No,Intact (no surgery),Female,Rattus argentiventer,Ricefield rats,,Wild,Yes,Unknown - wild caught (approx 100g),Adult (young),4,,10,0.41,0.42,NA,0.11,0.17,NA,Survival rate (%),two months,deviance,,,,,,,,13,24,NA,Radiocollared - Animals spread across 4 plots giving error for survival
7,Jacob et al 2004 B,Yes,Progesterone treatment,No,untreated,Female,Rattus argentiventer,Ricefield rats,,Wild,Yes,Unknown - wild caught (approx 100g),Adult (young),4,,10,0.41,0.4,NA,0.11,0,NA,Survival rate (%),two months,deviance,,,,,,,,15,24,NA,Radiocollared -Animals spread across 4 plots giving error for survival. Progesterone treatment wore off and some females got pregnant
96,Jewel 1997,Yes,Castration,Yes,Intact (no surgery),Male,Ovis aries,Sheep,Soay sheep,Wild,Yes,Lambs,Birth,1,,77,0.36,0.71,0.41,,,,Survival rate (%),one year,NA,,,,,,,,14,14,54,1978 Calaculated the survival rate to the timepoint nearest 50% intact male survival
97,Jewel 1997,Yes,Castration,Yes,Intact (no surgery),Male,Ovis aries,Sheep,Soay sheep,Wild,Yes,Lambs,Birth,1,,78,0.2,0.88,0.91,,,,Survival rate (%),One year,NA,,,,,,,,8,5,44,1979
98,Jewel 1997,Yes,Castration,Yes,Intact (no surgery),Male,Ovis aries,Sheep,Soay sheep,Wild,Yes,Lambs,Birth,1,,79,0.08,0.66,0.4,,,,Survival rate (%),Five years,NA,,,,,,,,50,50,83,"1980. Calculated the survival rate to timepoint nearest to 50% intact male survival, and where there is data for all groups. A survival curve is also available but there is alot of missing data"
43,Kirkman and Yau 1972,No,Castration,Yes,Intact (no surgery),Male,Mesocricetus auratus,Hamsters,Syrian Hamsters,Laboratory,No,Unknown - not given,,,,35,632,508,543,,,,Mean,Days,,222.91,151.3,222.95,,,,,629,72,578,"Do not have error presented in paper. The proportion of animals dying in 10 brackets of different ages is presented that could be used (Figs 3 and 4). Upper and low quartiles estimated from figure 3 when number of animals dying in 100 day periods is given. Have used the middle number within this period for the quartile value (e.g. 550-850 for intact males, 350-550 for castrated males) "
44,Kirkman and Yau 1972,No,Ovariectomy,Yes,Intact (no surgery),Female,Mesocricetus auratus,Hamsters,Syrian Hamsters,Laboratory,No,Unknown - not given,,,,36,543,391,632,,,,Mean,Days,,222.95,155.44,222.91,,,,,578,31,629,"Do not have error presented in paper. The proportion of animals dying in 10 brackets of different ages is presented that could be used (Figs 3 and 4). Upper and low quartiles estimated from figure 3 when number of animals dying in 100 day periods is given. Have used the middle number within this period for the quartile value (e.g. 450-750 for intact females, 250-450 for castrated females) "
1,Kirkpatrick and Turner 2004,No,porcine zona pellucida (PZP) immunocontraception,No,untreated,Female,Equus ferus,Horses,,Wild,Yes,2 Years,Adult,4,Less than 3 years,1,6.47,10.27,10.3,0.85,0.56,0.84,Mean,years,S.E.M,5.508629594,1.857309883,6.28598441,,,,,42,11,56,"Sterilization requires booster injections and these did not receive, the longer treatment did"
2,Kirkpatrick and Turner 2004,No,porcine zona pellucida (PZP) immunocontraception,No,untreated,Female,Equus ferus,Horses,,Wild,Yes,2 Years ,Adult,4,More than 3 years,1,6.47,19.94,10.3,0.85,1.66,0.84,Mean,years,S.E.M,5.508629594,7.235772246,6.28598441,,,,,42,19,56,
61,Mason et al 2009,Yes,Ovariectomy,Yes,Intact (no surgery),Female,Mus musculus,Mice,CBA,Laboratory,No,21 days,Prepuberty,2,,51,727.6,715,NA,15.9,20,NA,Mean,Days,S.E.M,89.94398257,101.9803903,NA,,,,,32,26,NA,Worked out sample size from fig 4 This and the other entry for this paper have two different control comparisons
62,Mason et al 2009,Yes,Ovariectomy,Yes,Intact (no surgery),Female,Mus musculus,Mice,CBA,Laboratory,No,21 days,Prepuberty,2,,51,725.6,715,NA,20.4,20,NA,Mean,Days,S.E.M,117.189078,101.9803903,NA,,,,,33,26,NA,Worked out sample size from fig 4
78,Min et al 2012,No,Castration,Yes,Intact (no surgery),Male,Homo sapiens,Humans,,,No,"Various.The boys lost their reproductive organs in accidents, or they underwent deliberate castration to gain access to the palace before becoming a teenager.",Prepuberty,2,,63,55.6,70,NA,0.53,1.76,NA,Median,Years,S.E.M,17.78463944,15.84,NA,,,,,1126,81,NA,Mok family
79,Min et al 2012,No,Castration,Yes,Intact (no surgery),Male,Homo sapiens,Humans,,,No,"Various.The boys lost their reproductive organs in accidents, or they underwent deliberate castration to gain access to the palace before becoming a teenager.",Prepuberty,2,,63,52.9,70,NA,0.45,1.76,NA,Median,Years,S.E.M,16.92143611,15.84,NA,,,,,1414,81,NA,Shin family
80,Min et al 2012,No,Castration,Yes,Intact (no surgery),Male,Homo sapiens,Humans,,,No,"Various.The boys lost their reproductive organs in accidents, or they underwent deliberate castration to gain access to the palace before becoming a teenager.",Prepuberty,2,,63,50.9,70,NA,2.16,1.76,NA,Median,Years,S.E.M,15.12,15.84,NA,,,,,49,81,NA,Seo family
47,Mitchel et al 1999,No,Castration ,Yes,Intact (no surgery),Male,Canis lupus,Dogs,Various breeds,Domestic,No,Various,,,,39,131,128,130,1.4,2.7,1.8,Mean,Months,S.E.M,50.02919148,46.05854969,51.95113088,,,,,1277,291,833,Used all causes of death. Data collected on the basis of surveys that pet owners filled out about their last pets age at death
48,Mitchel et al 1999,No,Ovariectomy,Yes,Intact (no surgery),Female,Canis lupus,Dogs,Various breeds,Domestic,No,Various,,,,40,130,144,131,1.8,1.5,1.4,Mean,Months,S.E.M,51.95113088,40.24922359,50.02919148,,,,,833,720,1277,Used all causes of death. Data collected on the basis of surveys that pet owners filled out about their last pets age at death
49,Moore et al 2001,No,Castration,Yes,Intact (no surgery),Male,Canis lupus,Dogs,Military working dogs,Domestic,No,Various,,,,41,9.97,10.49,NA,2.1,2.06,NA,Median,Years,Standard deviation,2.1,2.06,NA,,,,,641,143,NA,"Shinichi made decisoin to halve the rest of N to control and the opposit sex;Do not know the sample size of castrated males. 641/927 animals in the study are intact males, the remaining animals are either castrated males or spayed females but we do not know sample size of each of these two groups."
94,Muhlock 1959,Yes,Castration,Yes,Intact (no surgery),Male,Mus musculus,Mouse,DBA,Laboratory,No,Weaning (1month),Prepuberty,2,,75,578,595,667,10.12,11.44,9.57,Mean,days,S.E.M,78.38918293,102.3224707,88.748529,,,,,60,80,86,Extracted data and calculated mean and SE from graph
95,Muhlock 1959,Yes,Ovariectomy,Yes,Intact (no surgery),Female,Mus musculus,Mouse,DBA,Laboratory,No,Weaning (1 month),Prepuberty,2,,76,667,627,578,9.57,10.67,10.12,Mean,days,S.E.M,88.748529,87.98707405,78.38918293,,,,,86,68,60,Extracted data and calculated mean and SE from graph
50,Nieschlag et al 1993,No,Castration,Yes,Intact (no surgery),Male,Homo sapiens,Humans,,,No,Castrate prepubertal boys to prevent maturation of voice,Prepuberty,2,,42,64.3,65.5,NA,14.1,13.8,NA,Mean,Years,Standard Deviation,14.1,13.8,NA,,,,,200,50,NA,
105,Oneil et al 2013,No,Castration,Yes,Intact (no surgery),Male,Canis lupus,Dogs,Various breeds,Domestic,No,Various,,,,83,11.99,11.99,11.59,,,,Mean,Years,Estimated,,,,0.8,0.5,1.1,Average difference in years to control,1464,1224,1082,"Means calculated from the coefficient change in lifespan in Table 4. Sample size for all was known, SD was estimated"
106,Oneil et al 2013,No,Ovariectomy,Yes,Intact (no surgery),Female,Canis lupus,Dogs,Various breeds,Domestic,No,Various,,,,84,11.59,12.39,11.99,,,,Mean,Years,Estimated,,,,Look at comments for Coefficent whiich is in relation to the control female from the same study),,,,1082,1304,1464,"Means calculated from the coefficient change in lifespan in Table 4. Sample size for all was known, SD was estimated"
107,Oneil et al 2015,No,Castration,Yes,Intact (no surgery),Male,Felis catus,Cats,Various breeds,Domestic,No,Various,,,,85,12.81,14.71,14.61,,,,Mean,Years,Estimated,,,,0.6,0.1,1,Average difference in years to control,704,1296,707,"Means calculated from the coefficient change in lifespan in Table 4. Sample size for each sex was estimated on the basis of the total sample size and the percentage that were known to be sterilized in both sexes, SD was estimated"
108,Oneil et al 2015,No,Ovariectomy,Yes,Intact (no surgery),Female,Felis catus,Cats,Various breeds,Domestic,No,Various,,,,86,14.61,15.21,12.81,,,,Mean,Years,Estimated,,,,Look at comments for Coefficent whiich is in relation to the control female from the same study),,,,707,1302,704,"Means calculated from the coefficient change in lifespan in Table 4. Sample size for each sex was estimated on the basis of the total sample size and the percentage that were known to be sterilized in both sexes, SD was estimated"
109,Parker et al 2013,No,Ovariectomy,Yes,Hysterectomy (ovary conservation),Female,Homo sapiens,Humans,,,No,Under 50 years old,Late adult,4,,87,0.863,0.813,NA,,,,Survival rate (%),28 years,NA,,,,,,,,10147,10947,NA,"Calculated survival rate from those surviving across the study period. Hazard ratios are also provided in the paper, and additional analysis cotrolling for factors. There is also analysis where women are seperated according to whether they have used hormone replacement therapy. Additional studies are cited that have conducted this type of analysis."
110,Parker et al 2013,No,Ovariectomy,Yes,Hysterectomy (ovary conservation),Female,Homo sapiens,Humans,,,No,50-59 years old,Late adult,4,,88,0.87,0.854,NA,,,,Survival rate (%),28 years,NA,,,,,,,,1746,4495,NA,"Calculated survival rate from those surviving across the study period. Hazard ratios are also provided in the paper, and additional analysis cotrolling for factors. There is also analysis where women are seperated according to whether they have used hormone replacement therapy. Additional studies are cited that have conducted this type of analysis."
111,Parker et al 2013,No,Ovariectomy,Yes,Hysterectomy (ovary conservation),Female,Homo sapiens,Humans,,,No,60 and over 60 years old,Late adult,4,,89,0.9,0.9,NA,,,,Survival rate (%),28 years,NA,,,,,,,,1310,1472,NA,"Calculated survival rate from those surviving across the study period. Hazard ratios are also provided in the paper, and additional analysis cotrolling for factors. There is also analysis where women are seperated according to whether they have used hormone replacement therapy. Additional studies are cited that have conducted this type of analysis."
89,Ramsey 2005,Yes,Tubul-ligation,No,Sham surgery,Female ,Trichosurus vulpecula,Possum,,Wild,Yes,Various,Adult,4,,70,0.78,0.87,NA,NA,NA,NA,Survival rate (%),Annual (taken from 4 years),NA,,,,,,,,56,56,NA,"Orongorono 50% sterility_Survival from Fig 7, sample sizes from number of animals released over the years 1996-1999"
